³¯Â¥,¿äÀÏ,È¨,¾î¿þÀÌ,°üÁß¼ö,È¨ÆÀ ¼øÀ§,È¨ÆÀ½Â·ü,È¨ÆÀ¿¬½Â,È¨ ¿¬½Â ¼ýÀÚ·Î,¾î¿þÀÌ ¼øÀ§,¾î¿þÀÌ ½Â·ü,¾î¿þÀÌ ¿¬½Â,¾î¿þÀÌ ¿¬½Â ¼ýÀÚ·Î,Æò±Õ±â¿Â,ÇÕ°è ÀÏ»ç·®(MJ/m2),ÀÏ°­¼ö·®(mm),°øÈÞÀÏ ¹× ÁÖ¸»,ÀÌº¥Æ® ¿©ºÎ,°æ±â ½Ã°£,°üÁß¼ö,ºñÀ²(y)
2022-04-02,Åä,µÎ»ê,ÇÑÈ­,"16,271",1,1,1½Â,1,6,0,1ÆÐ,-1,8.2,24.09,,1,,0,"16,271",0.685
2022-04-03,ÀÏ,µÎ»ê,ÇÑÈ­,"11,345",1,1,2½Â,2,8,0,2ÆÐ,-2,9.6,24.34,,1,1,0,"11,345",0.478
2022-04-05,È­,µÎ»ê,»ï¼º,"4,109",3,0.667,2½Â,2,3,0.667,2½Â,2,10.3,21.21,,0,,1,"4,109",0.173
2022-04-06,¼ö,µÎ»ê,»ï¼º,"4,161",4,0.5,1ÆÐ,-1,3,0.75,3½Â,3,11.7,21.54,,0,,1,"4,161",0.175
2022-04-07,¸ñ,µÎ»ê,»ï¼º,"4,055",3,0.6,1½Â,1,3,0.6,1ÆÐ,-1,10.9,24.3,,0,,1,"4,055",0.171
2022-04-08,±Ý,LG,NC,"10,623",2,0.833,2½Â,2,7,0.333,1½Â,1,12.9,24.92,,0,1,1,"10,623",0.447
2022-04-09,Åä,LG,NC,"14,328",2,0.857,2½Â,2,8,0.286,1ÆÐ,-1,17.8,21.41,1,1,1,0,"14,328",0.603
2022-04-10,ÀÏ,LG,NC,"13,095",2,0.875,4½Â,4,8,0.25,2ÆÐ,-2,18.2,24.18,,1,1,0,"13,095",0.551
2022-04-12,È­,LG,SSG,"6,028",2,0.778,1ÆÐ,-1,1,1,9½Â,9,19.3,18.23,1,0,,1,"6,028",0.254
2022-04-13,¼ö,LG,SSG,"4,547",2,0.7,1½Â,1,1,1,10½Â,10,13.1,4.06,1,0,,1,"4,547",0.191
2022-04-14,¸ñ,LG,SSG,"6,500",2,0.727,1ÆÐ,-1,1,0.909,1ÆÐ,-1,13.2,9.52,,0,,1,"6,500",0.274
2022-04-15,±Ý,µÎ»ê,Å°¿ò,"4,423",4,0.636,2ÆÐ,-2,2,0.667,7½Â,7,13.3,26.31,,0,,1,"4,423",0.186
2022-04-16,Åä,µÎ»ê,Å°¿ò,"9,737",3,0.667,1½Â,1,4,0.615,1ÆÐ,-1,13.2,26.64,,1,,0,"9,737",0.41
2022-04-17,ÀÏ,µÎ»ê,Å°¿ò,"8,762",4,0.615,4½Â,4,3,0.643,1½Â,1,14,26,,1,1,0,"8,762",0.369
2022-04-19,È­,LG,KT,"4,537",2,0.667,3ÆÐ,-3,8,0.286,1½Â,1,15.2,25.17,,0,,1,"4,537",0.191
2022-04-20,¼ö,LG,KT,"4,595",2,0.625,1ÆÐ,-1,8,0.333,2½Â,2,15.7,26.26,,0,,1,"4,595",0.193
2022-04-21,¸ñ,LG,KT,"4,410",3,0.588,2ÆÐ,-2,8,0.375,3½Â,3,16.3,19.54,,0,,1,"4,410",0.186
2022-04-22,±Ý,µÎ»ê,LG,"8,472",3,0.588,2½Â,2,2,0.611,1½Â,1,15,3.06,,0,,1,"8,472",0.357
2022-04-23,Åä,µÎ»ê,LG,"17,799",2,0.611,3½Â,3,3,0.579,1ÆÐ,-1,17.7,23.47,,1,,0,"17,799",0.749
2022-04-24,ÀÏ,µÎ»ê,LG,"14,848",3,0.579,3½Â,3,2,0.6,1½Â,1,18.5,20.45,0,1,1,0,"14,848",0.625
2022-04-26,È­,µÎ»ê,NC,"3,644",2,0.6,1ÆÐ,-1,10,0.286,1ÆÐ,-1,21.9,24.94,1,0,,1,"3,644",0.153
2022-04-27,¼ö,µÎ»ê,NC,"3,450",2,0.619,1ÆÐ,-1,10,0.273,2ÆÐ,-2,17.7,26.83,,0,,1,"3,450",0.145
2022-04-28,¸ñ,µÎ»ê,NC,"5,223",3,0.591,6½Â,6,10,0.304,1½Â,1,18.2,22.34,0,0,,1,"5,223",0.22
2022-04-29,±Ý,LG,·Ôµ¥,"15,681",3,0.583,7½Â,7,2,0.591,2½Â,2,13.4,13.08,16,0,,1,"15,681",0.66
2022-04-30,Åä,LG,·Ôµ¥,"23,018",3,0.56,2ÆÐ,-2,2,0.609,3½Â,3,13,12.52,,1,,0,"23,018",0.969
2022-05-01,ÀÏ,LG,·Ôµ¥,"20,513",5,0.538,5½Â,5,2,0.625,4½Â,4,13.4,27.41,,1,,0,"20,513",0.864
2022-05-03,È­,LG,µÎ»ê,"10,124",4,0.556,2½Â,2,5,0.538,1ÆÐ,-1,14.8,28.07,,0,,1,"10,124",0.426
2022-05-04,¼ö,LG,µÎ»ê,"14,480",5,0.536,1ÆÐ,-1,4,0.556,1½Â,1,17.8,27.22,,0,,1,"14,480",0.61
2022-05-05,¸ñ,LG,µÎ»ê,"24,012",5,0.517,2ÆÐ,-2,3,0.571,2½Â,2,18.9,29.35,,1,1,0,"23,750",1
2022-05-06,±Ý,µÎ»ê,KT,"8,709",4,0.552,1½Â,1,6,0.483,2½Â,2,19.6,25.6,,0,,1,"8,709",0.367
2022-05-07,Åä,µÎ»ê,KT,"10,546",2,0.567,1ÆÐ,-1,7,0.467,1ÆÐ,-1,18.4,22.57,1,1,,0,"10,546",0.444
2022-05-08,ÀÏ,µÎ»ê,KT,"7,124",3,0.548,3½Â,3,7,0.484,1½Â,1,15.3,6.2,2,1,1,0,"7,124",0.3
2022-05-10,È­,LG,ÇÑÈ­,"7,270",2,0.576,4½Â,4,9,0.333,5ÆÐ,-5,19.9,27.82,0,0,,1,"7,270",0.306
2022-05-11,¼ö,LG,ÇÑÈ­,"8,064",2,0.588,1½Â,1,9,0.324,6ÆÐ,-6,19.7,25.73,0,0,,1,"8,064",0.34
2022-05-12,¸ñ,LG,ÇÑÈ­,"8,620",2,0.6,2½Â,2,9,0.314,7ÆÐ,-7,20.9,27.45,,0,,1,"8,620",0.363
2022-05-13,±Ý,LG,KIA,"19,411",3,0.583,1ÆÐ,-1,5,0.514,2½Â,2,19.4,19.95,,0,,1,"19,411",0.817
2022-05-14,Åä,LG,KIA,"24,132",2,0.595,1½Â,1,7,0.5,1ÆÐ,-1,15.7,22.58,,1,1,0,"23,750",1
2022-05-15,ÀÏ,LG,KIA,"23,097",2,0.605,2½Â,2,7,0.486,2ÆÐ,-2,16.2,30.01,,1,,0,"23,097",0.973
2022-05-17,È­,µÎ»ê,SSG,"5,743",3,0.556,1ÆÐ,-1,1,0.676,1ÆÐ,-1,20,27.56,,0,,1,"5,743",0.242
2022-05-18,¼ö,µÎ»ê,SSG,"5,586",3,0.541,1½Â,1,1,0.684,1½Â,1,20,15.71,2,0,,1,"5,586",0.235
2022-05-19,¸ñ,µÎ»ê,SSG,"7,360",5,0.526,1ÆÐ,-1,1,0.692,2½Â,2,19.9,20.97,,0,,1,"7,360",0.31
2022-05-20,±Ý,µÎ»ê,·Ôµ¥,"15,486",7,0.513,1½Â,1,6,0.525,1½Â,1,20.6,25.74,,0,1,1,"15,486",0.652
2022-05-21,Åä,µÎ»ê,·Ôµ¥,"20,588",4,0.525,1½Â,1,7,0.512,1ÆÐ,-1,20.1,24.88,,1,,0,"20,588",0.867
2022-05-22,ÀÏ,µÎ»ê,·Ôµ¥,"19,143",7,0.512,1½Â,1,6,0.524,1½Â,1,20.3,24.3,,1,1,0,"19,143",0.806
2022-05-24,È­,LG,Å°¿ò,"6,074",2,0.578,1ÆÐ,-1,3,0.556,1½Â,1,22.9,28.86,,0,,1,"6,074",0.256
2022-05-25,¼ö,LG,Å°¿ò,"6,937",2,0.565,1ÆÐ,-1,2,0.565,2½Â,2,21,22.59,4,0,1,1,"6,937",0.292
2022-05-26,¸ñ,LG,Å°¿ò,"6,655",4,0.553,1½Â,1,2,0.574,3½Â,3,18.7,28.88,0,0,,1,"6,655",0.28
2022-05-27,±Ý,LG,»ï¼º,"13,775",3,0.563,2½Â,2,6,0.489,4ÆÐ,-4,20,28.71,0,0,1,1,"13,775",0.58
2022-05-28,Åä,LG,»ï¼º,"21,100",3,0.571,3½Â,3,6,0.479,5ÆÐ,-5,22.3,27.49,,1,1,0,"21,100",0.888
2022-05-29,ÀÏ,LG,»ï¼º,"17,435",3,0.56,1ÆÐ,-1,6,0.49,1½Â,1,23.1,21.5,,1,1,0,"17,435",0.734
2022-05-31,È­,µÎ»ê,KIA,"18,194",5,0.5,2ÆÐ,-2,3,0.56,1½Â,1,20.7,27.48,,0,,1,"18,194",0.766
2022-06-01,¼ö,µÎ»ê,KIA,"23,244",6,0.49,1ÆÐ,-1,3,0.569,2½Â,2,22.1,30.79,,1,,0,"23,244",0.979
2022-06-02,¸ñ,µÎ»ê,KIA,"11,029",6,0.48,1ÆÐ,-1,3,0.577,3½Â,3,21.5,27.13,,0,,1,"11,029",0.464
2022-06-03,±Ý,LG,SSG,"9,487",3,0.566,1½Â,1,1,0.673,2ÆÐ,-2,24.5,27.2,,0,1,1,"9,487",0.399
2022-06-04,Åä,LG,SSG,"16,345",3,0.574,2½Â,2,1,0.66,3ÆÐ,-3,25.6,18.22,,1,1,0,"16,345",0.688
2022-06-05,ÀÏ,LG,SSG,"14,964",3,0.564,1ÆÐ,-1,1,0.667,1½Â,1,22.7,8.16,0,1,1,0,"14,964",0.63
2022-06-07,È­,µÎ»ê,ÇÑÈ­,"4,702",6,0.491,1ÆÐ,-1,9,0.375,2ÆÐ,-2,20.6,17.34,0,0,,1,"4,702",0.198
2022-06-08,¼ö,µÎ»ê,ÇÑÈ­,"4,882",6,0.481,2ÆÐ,-2,9,0.386,1½Â,1,21.2,16.97,,0,,1,"4,882",0.206
2022-06-09,¸ñ,µÎ»ê,ÇÑÈ­,"6,612",6,0.491,3ÆÐ,-3,9,0.379,1ÆÐ,-1,20.9,10.66,3,0,,1,"6,612",0.278
2022-06-10,±Ý,LG,µÎ»ê,"11,791",3,0.569,1½Â,1,6,0.482,1ÆÐ,-1,20.9,15.38,1,0,1,1,"11,791",0.496
2022-06-11,Åä,LG,µÎ»ê,"19,035",3,0.559,1ÆÐ,-1,5,0.491,1½Â,1,24.6,26.54,,1,1,0,"19,035",0.801
2022-06-12,ÀÏ,LG,µÎ»ê,"15,235",3,0.567,5½Â,5,6,0.483,1ÆÐ,-1,24.6,24.52,,1,1,0,"15,235",0.641
2022-06-14,È­,LG,»ï¼º,"6,824",3,0.574,1½Â,1,6,0.475,1ÆÐ,-1,21.5,18.58,0,0,,1,"6,824",0.287
2022-06-15,¼ö,LG,»ï¼º,"6,328",3,0.565,1½Â,1,6,0.484,1½Â,1,17.5,5.62,19,0,,1,"6,328",0.266
2022-06-16,¸ñ,LG,»ï¼º,"8,976",3,0.571,2½Â,2,6,0.476,1ÆÐ,-1,20.3,13,1,0,,1,"8,976",0.378
2022-06-17,±Ý,µÎ»ê,KT,"4,898",7,0.468,1ÆÐ,-1,5,0.492,1½Â,1,22.5,17.86,,0,,1,"4,898",0.206
2022-06-18,Åä,µÎ»ê,KT,"9,033",7,0.476,1½Â,1,5,0.484,1ÆÐ,-1,23.3,6.07,0,1,,0,"9,033",0.38
2022-06-19,ÀÏ,µÎ»ê,KT,"6,966",7,0.469,2½Â,2,5,0.492,1½Â,1,23.4,5.06,,1,1,0,"6,966",0.293
2022-06-21,È­,LG,ÇÑÈ­,"7,317",3,0.582,2½Â,2,10,0.333,9ÆÐ,-9,26.5,28.94,,0,1,1,"7,317",0.308
2022-06-22,¼ö,LG,ÇÑÈ­,"8,200",3,0.588,1ÆÐ,-1,10,0.328,10ÆÐ,-10,25.9,22.39,,0,1,1,"8,200",0.345
2022-06-24,±Ý,µÎ»ê,KIA,"14,470",6,0.463,1ÆÐ,-1,4,0.544,2½Â,2,22.6,8.5,19,0,1,1,"14,470",0.609
2022-06-25,Åä,µÎ»ê,KIA,"22,093",7,0.456,1ÆÐ,-1,4,0.551,3½Â,3,26,17.55,,1,1,0,"22,093",0.93
2022-06-26,ÀÏ,µÎ»ê,KIA,"16,298",7,0.464,1ÆÐ,-1,4,0.543,1ÆÐ,-1,26.5,3,,1,1,0,"16,298",0.686
2022-06-28,È­,LG,NC,"3,361",3,0.597,5ÆÐ,-5,9,0.386,4ÆÐ,-4,26.9,3.33,6,0,,1,"3,361",0.142
2022-07-01,±Ý,LG,·Ôµ¥,"12,224",3,0.603,2ÆÐ,-2,7,0.451,1ÆÐ,-1,26.6,21.53,,0,,1,"12,224",0.515
2022-07-02,Åä,LG,·Ôµ¥,"18,750",3,0.595,3ÆÐ,-3,7,0.458,1½Â,1,28.8,25.83,,1,1,1,"18,750",0.789
2022-07-03,ÀÏ,LG,·Ôµ¥,"23,750",3,0.6,4ÆÐ,-4,7,0.452,1ÆÐ,-1,29.3,26.25,,1,1,0,"23,750",1
2022-07-05,È­,µÎ»ê,Å°¿ò,"4,265",8,0.432,1½Â,1,2,0.646,9½Â,9,29.2,15.99,0,0,1,1,"4,265",0.18
2022-07-06,¼ö,µÎ»ê,Å°¿ò,"2,930",8,0.44,2½Â,2,2,0.638,1ÆÐ,-1,29.5,14.49,16,0,,1,"2,930",0.123
2022-07-07,¸ñ,µÎ»ê,Å°¿ò,"3,781",6,0.447,2ÆÐ,-2,2,0.63,2ÆÐ,-2,28.2,8.29,0,0,,1,"3,781",0.159
2022-07-08,±Ý,µÎ»ê,LG,"9,875",6,0.442,3ÆÐ,-3,3,0.62,5½Â,5,25.8,6.94,2,0,,1,"9,875",0.416
2022-07-09,Åä,µÎ»ê,LG,"16,032",6,0.436,5½Â,5,3,0.625,6½Â,6,26.9,13.64,0,1,,1,"16,032",0.675
2022-07-10,ÀÏ,µÎ»ê,LG,"10,980",7,0.43,5ÆÐ,-5,3,0.63,7½Â,7,29.2,23.08,0,1,1,0,"10,980",0.462
2022-07-12,È­,LG,KIA,"14,517",3,0.622,9½Â,9,5,0.519,4½Â,4,26.8,11.82,,0,,1,"14,517",0.611
2022-07-14,¸ñ,LG,KIA,"14,590",3,0.627,10½Â,1,5,0.512,1ÆÐ,-1,25.7,17.21,1,0,,1,"14,590",0.614
2022-07-22,±Ý,µÎ»ê,SSG,"6,223",7,0.434,2ÆÐ,-2,1,0.69,7½Â,7,25.1,13.54,5,0,1,1,"6,223",0.262
2022-07-24,ÀÏ,µÎ»ê,SSG,"6,216",7,0.429,3ÆÐ,-3,1,0.694,8½Â,8,25,8.82,1,1,1,0,"6,216",0.262
2022-07-26,È­,µÎ»ê,·Ôµ¥,"5,857",7,0.435,1½Â,1,6,0.442,4ÆÐ,-4,28.9,22.31,,0,,1,"5,857",0.247
2022-07-27,¼ö,µÎ»ê,·Ôµ¥,"5,115",6,0.442,1ÆÐ,-1,7,0.437,5ÆÐ,-5,29.3,19.72,,0,,1,"5,115",0.215
2022-07-28,¸ñ,µÎ»ê,·Ôµ¥,"9,820",6,0.448,1ÆÐ,-1,7,0.432,6ÆÐ,-6,29.7,25.2,,0,1,1,"9,820",0.413
2022-07-29,±Ý,LG,KT,"9,114",3,0.6,4ÆÐ,-4,4,0.551,3½Â,3,30.7,20.28,,0,,1,"9,114",0.384
2022-07-30,Åä,LG,KT,"10,589",3,0.604,5ÆÐ,-5,4,0.544,1ÆÐ,-1,30.9,23.53,1,1,1,1,"10,589",0.446
2022-08-03,¼ö,µÎ»ê,»ï¼º,"6,125",6,0.456,1½Â,1,9,0.409,2ÆÐ,-2,27.1,8.74,51,0,1,1,"6,125",0.258
2022-08-04,¸ñ,µÎ»ê,»ï¼º,"7,429",6,0.451,2½Â,2,9,0.415,1½Â,1,28.9,22.24,0,0,,1,"7,429",0.313
2022-08-05,±Ý,LG,Å°¿ò,"10,811",3,0.6,3½Â,3,2,0.608,1½Â,1,29.4,19.58,0,0,,1,"10,811",0.455
2022-08-06,Åä,LG,Å°¿ò,"11,357",2,0.604,1ÆÐ,-1,3,0.602,1ÆÐ,-1,28.7,7.48,14,1,,1,"11,357",0.478
2022-08-07,ÀÏ,LG,Å°¿ò,"10,396",2,0.608,2ÆÐ,-2,3,0.596,2ÆÐ,-2,28.9,9.26,1,1,1,0,"10,396",0.438
2022-08-10,¼ö,µÎ»ê,NC,"2,672",6,0.453,1ÆÐ,-1,7,0.436,3½Â,3,24.7,16.23,8,0,1,1,"2,672",0.113
2022-08-11,¸ñ,µÎ»ê,NC,"2,005",6,0.448,1ÆÐ,-1,7,0.442,4½Â,4,25,8.81,39,0,1,1,"2,005",0.084
2022-08-12,±Ý,µÎ»ê,NC,"3,679",6,0.454,2ÆÐ,-2,8,0.438,1ÆÐ,-1,27,24.86,,0,1,1,"3,679",0.155
2022-08-13,Åä,µÎ»ê,SSG,"6,659",6,0.449,1½Â,1,1,0.693,1½Â,1,25.8,5.06,4,1,1,1,"6,659",0.28
2022-08-14,ÀÏ,µÎ»ê,SSG,"6,973",7,0.444,1½Â,1,1,0.696,2½Â,2,27.6,13.95,3,1,,0,"6,973",0.294
2022-08-16,È­,LG,»ï¼º,"9,671",2,0.61,1ÆÐ,-1,9,0.412,3ÆÐ,-3,26.7,23.34,0,0,,1,"9,671",0.407
2022-08-17,¼ö,LG,»ï¼º,"9,180",2,0.614,2ÆÐ,-2,9,0.408,4ÆÐ,-4,26,17.1,0,0,1,1,"9,180",0.387
2022-08-18,¸ñ,µÎ»ê,Å°¿ò,"3,517",8,0.446,1ÆÐ,-1,3,0.57,3ÆÐ,-3,25.6,12.57,,0,1,1,"3,517",0.148
2022-08-20,Åä,LG,µÎ»ê,"17,504",2,0.621,1½Â,1,8,0.441,1ÆÐ,-1,28.2,23.65,0,1,1,1,"17,504",0.737
2022-08-21,ÀÏ,LG,µÎ»ê,"14,441",2,0.615,2½Â,2,8,0.447,1½Â,1,28.1,16.37,,1,1,0,"14,441",0.608
2022-08-23,È­,µÎ»ê,KT,"3,059",8,0.442,2½Â,2,3,0.561,2½Â,2,25.4,20.42,2,0,1,1,"3,059",0.129
2022-08-24,¼ö,µÎ»ê,KT,"2,827",8,0.438,2½Â,2,3,0.565,3½Â,3,24.8,12.34,,0,1,1,"2,827",0.119
2022-08-25,¸ñ,LG,KIA,"14,262",2,0.607,1ÆÐ,-1,5,0.505,1½Â,1,22.2,4.5,2,0,1,1,"14,262",0.601
2022-08-26,±Ý,LG,KIA,"18,154",2,0.611,1½Â,1,5,0.5,1ÆÐ,-1,23.8,19.91,,0,1,1,"18,154",0.764
2022-08-27,Åä,LG,Å°¿ò,"15,250",2,0.615,2½Â,2,4,0.561,1ÆÐ,-1,21.5,27.09,18,1,1,1,"15,250",0.642
2022-08-28,ÀÏ,LG,Å°¿ò,"12,917",2,0.618,3½Â,3,4,0.557,2ÆÐ,-2,22.6,24.53,,1,1,0,"12,917",0.544
2022-08-31,¼ö,LG,NC,"8,553",2,0.622,4½Â,4,7,0.444,1ÆÐ,-1,21.7,10.32,0,0,,1,"8,553",0.36
2022-09-01,¸ñ,µÎ»ê,·Ôµ¥,"6,219",8,0.432,2ÆÐ,-2,6,0.452,3ÆÐ,-3,24,25.02,,0,1,1,"6,219",0.262
2022-09-02,±Ý,µÎ»ê,·Ôµ¥,"8,100",8,0.429,3ÆÐ,-3,6,0.457,1½Â,1,24.7,24.51,,1,1,1,"8,100",0.341
2022-09-03,Åä,µÎ»ê,»ï¼º,"13,113",9,0.425,4½Â,4,8,0.431,1½Â,1,24.2,16.39,,1,1,0,"13,113",0.552
2022-09-06,È­,LG,SSG,"12,917",2,0.626,4ÆÐ,-4,1,0.667,1½Â,1,21,20.76,25,0,1,1,"12,917",0.544
2022-09-07,¼ö,LG,SSG,"15,185",2,0.626,1½Â,1,1,0.667,1½Â,1,22.8,24.4,,0,1,1,"15,185",0.639
2022-09-08,¸ñ,µÎ»ê,ÇÑÈ­,"4,757",9,0.414,2½Â,2,10,0.319,1½Â,1,23.2,23.96,,0,1,1,"4,757",0.2
2022-09-09,±Ý,µÎ»ê,ÇÑÈ­,"5,691",9,0.419,2ÆÐ,-2,10,0.317,1ÆÐ,-1,24.3,23.91,,0,,0,"5,691",0.24
2022-09-10,Åä,µÎ»ê,KIA,"13,433",9,0.415,1ÆÐ,-1,5,0.508,4½Â,4,23.6,18.76,,1,1,0,"13,433",0.566
2022-09-11,ÀÏ,µÎ»ê,KIA,"20,681",9,0.42,2ÆÐ,-2,5,0.504,1ÆÐ,-1,23.3,10.27,0,1,1,0,"20,681",0.871
2022-09-13,È­,µÎ»ê,LG,"6,803",9,0.417,1½Â,1,2,0.625,1½Â,1,24.3,7.38,0,0,1,1,"6,803",0.286
2022-09-14,¼ö,µÎ»ê,LG,"7,098",9,0.421,1½Â,1,2,0.62,1ÆÐ,-1,24.6,10.09,0,0,,1,"7,098",0.299
2022-09-15,¸ñ,LG,KT,"9,614",2,0.623,1ÆÐ,-1,4,0.556,2ÆÐ,-2,25.2,12.29,0,0,1,1,"9,614",0.405
2022-09-17,Åä,LG,ÇÑÈ­,"20,104",2,0.626,1ÆÐ,-1,10,0.331,1ÆÐ,-1,25.6,11.31,4,1,1,0,"20,104",0.846
2022-09-18,ÀÏ,LG,ÇÑÈ­,"16,798",2,0.621,2½Â,2,10,0.336,1½Â,1,27.1,15.9,,1,,0,"16,798",0.707
2022-09-20,È­,µÎ»ê,NC,"7,386",9,0.429,2ÆÐ,-2,6,0.464,1ÆÐ,-1,19.9,18.93,,0,1,1,"7,386",0.311
2022-09-21,¼ö,µÎ»ê,NC,"4,683",9,0.425,3ÆÐ,-3,6,0.468,1½Â,1,19.4,22.18,,0,,1,"4,683",0.197
2022-09-22,¸ñ,LG,·Ôµ¥,"18,034",2,0.622,2½Â,2,7,0.462,3½Â,3,19.8,17.9,,0,1,1,"18,034",0.759
2022-09-23,±Ý,LG,·Ôµ¥,"19,377",2,0.625,1ÆÐ,-1,7,0.459,1ÆÐ,-1,17.5,16.53,3,0,1,1,"19,377",0.816
2022-09-24,Åä,LG,ÇÑÈ­,"16,775",2,0.62,1½Â,1,10,0.331,1½Â,1,18.5,21.67,,1,1,0,"16,775",0.706
2022-09-25,ÀÏ,µÎ»ê,ÇÑÈ­,"9,590",9,0.427,5ÆÐ,-5,10,0.328,1ÆÐ,-1,19.6,17.94,,1,,0,"9,590",0.404
2022-09-29,¸ñ,LG,KT,"10,859",2,0.624,2ÆÐ,-2,4,0.566,4½Â,4,20.4,17.37,,0,1,1,"10,859",0.457
2022-09-30,±Ý,LG,NC,"11,076",2,0.627,2ÆÐ,-2,6,0.463,2ÆÐ,-2,20.7,19.27,,0,1,1,"11,076",0.466
2022-10-01,Åä,LG,NC,"17,282",2,0.622,2ÆÐ,-2,6,0.467,1½Â,1,20.9,17.31,,1,1,0,"17,282",0.728
2022-10-02,ÀÏ,LG,NC,"15,711",2,0.618,1½Â,1,6,0.471,2½Â,2,19.4,3.8,16,1,1,0,"15,711",0.662
2022-10-04,È­,LG,KIA,"13,385",2,0.613,2ÆÐ,-2,5,0.489,2½Â,2,17.9,6.5,12,0,1,1,"13,385",0.564
2022-10-05,¼ö,µÎ»ê,SSG,"9,474",9,0.424,2ÆÐ,-2,1,0.638,2ÆÐ,-2,16.6,15.62,0,0,,1,"9,474",0.399
2022-10-06,¸ñ,µÎ»ê,»ï¼º,"7,350",9,0.429,1½Â,1,7,0.457,1ÆÐ,-1,15.8,7.74,0,0,,1,"7,350",0.309
2022-10-07,±Ý,µÎ»ê,»ï¼º,"11,681",9,0.426,2ÆÐ,-2,7,0.461,1½Â,1,14.3,15.08,,0,,1,"11,681",0.492
2022-10-08,Åä,µÎ»ê,Å°¿ò,"23,511",9,0.423,3ÆÐ,-3,4,0.563,1½Â,1,15.8,18.48,,1,,0,"23,511",0.99
